,codigo_pedido,codigo_cliente,data_nascimento_cliente,data_pedido,data,flg_bf,compras_bf
77,4df7ce929ad563414fdcccb9c25a7438,10d8cbef26dcd6deabdb339431981473,1997-09-18 00:00:00,2018-11-23,2018-11-23,1,3.0
78,f4983609ae45d04f7628b6ce17839113,31be0f41abd90a20816efae4c6b32a50,1981-12-18 00:00:00,2018-11-23,2018-11-23,1,3.0
79,2cf337d748cc45af1729482840348501,31be0f41abd90a20816efae4c6b32a50,1981-12-18 00:00:00,2018-11-23,2018-11-23,1,3.0
80,53c35310e0816ecca1c249c03abcefb2,31be0f41abd90a20816efae4c6b32a50,1981-12-18 00:00:00,2018-11-23,2018-11-23,1,3.0
81,b882e3a5d601b97e5db20026c467a150,87d846adfb55041cd9ffbbcfbf0534e0,1963-07-02 00:00:00,2018-11-23,2018-11-23,1,3.0
82,5630219205a7901dfee8aec51f6cd15d,87d846adfb55041cd9ffbbcfbf0534e0,1963-07-02 00:00:00,2018-11-23,2018-11-23,1,3.0
83,6fb75e42f156060e7fce5899172e6dd7,87d846adfb55041cd9ffbbcfbf0534e0,1963-07-02 00:00:00,2018-11-23,2018-11-23,1,3.0
84,eb9f57c8fd927521648700490c177fe7,9436b0e2e6602969019ebeefe1f5fd6a,2009-10-28 00:00:00,2018-11-23,2018-11-23,1,105.0
85,2aca8a9232e9eaf718a0544597884957,9436b0e2e6602969019ebeefe1f5fd6a,2009-10-28 00:00:00,2018-11-23,2018-11-23,1,105.0
86,bb892f63a8b6ef6bfeccc722edee6b34,9436b0e2e6602969019ebeefe1f5fd6a,2009-10-28 00:00:00,2018-11-23,2018-11-23,1,105.0
87,ee27b496776e550fb4f954aa1b3d781f,9436b0e2e6602969019ebeefe1f5fd6a,2009-10-28 00:00:00,2018-11-08,,,105.0
88,a67fe56b18fb9544b6228d4e24a302ea,9436b0e2e6602969019ebeefe1f5fd6a,2009-10-28 00:00:00,2018-11-08,,,105.0
89,c2509ca47353e28e965c261bbc067943,9436b0e2e6602969019ebeefe1f5fd6a,2009-10-28 00:00:00,2018-11-08,,,105.0
90,156d33355d10c17efbb69f41091272b8,9436b0e2e6602969019ebeefe1f5fd6a,2009-10-28 00:00:00,2018-11-08,,,105.0
91,7d3e6f2e54b8d11b2114cf27760e7420,9436b0e2e6602969019ebeefe1f5fd6a,2009-10-28 00:00:00,2018-11-26,,,105.0
92,42a4800cfe69d7e447cc486ab2b31962,9436b0e2e6602969019ebeefe1f5fd6a,2009-10-28 00:00:00,2018-11-26,,,105.0
93,39b74cac1f3dadb7e17c4c7b13cc803c,9436b0e2e6602969019ebeefe1f5fd6a,2009-10-28 00:00:00,2018-11-26,,,105.0
94,862a65e2ab399780092b562da7cd8927,9436b0e2e6602969019ebeefe1f5fd6a,2009-10-28 00:00:00,2018-11-16,,,105.0
